horizon,site,C_stock,N_stock,Mn,OC,N,Temp,Precip,Mn_stock,pH,CEC,EC,Al,Fe,Si,K,Ca,MnCa_ratio,Mg,P,S,Na,Ti,Sr,Zr,Exc_Ca,Exc_k,Exc_mg,Sum_Bases,Base_sat,
O,BART,1.423,0.058,465,448,18.2,8,1056,1.477305,3.4,66,1.38,15571,4744,88148,5433,3104,6.675268817,584,942,1.5,4890,815,23,101,9.3,3.3,1.5,14.1,21,
O,HARV,4.682,0.256,295,254,13.9,8,967,5.43744,3.5,54,0.74,32588,13558,183014,7556,5730,19.42372881,1909,1492,0.9,7177,2564,121,54,2.1,1.4,1.5,5,9,
O,SCBI,0.464,0.014,1124,381,11.1,13,1054,1.369032,5.4,55.4,,21512,37322,80618,2300,24173,21.50622776,2579,917,1.1,304,6412,267,64,58.6,3.5,12.8,75.7,100,
O,SERC,1.486,0.083,297,79,4.4,14,1107,5.587164,5.9,20.7,0.42,20012,19324,301884,9160,3602,12.12794613,3384,442,0.4,1235,4452,46,149,14.2,0.5,3.6,18.3,88,
O,TREE,0.397,0.025,757,30,1.9,5,782,10.006026,5.3,7.3,0.2,35506,13443,334432,14278,4616,6.097754293,1943,392,0.1,7034,2044,96,52,4.1,0.4,0.8,5.3,73,
O,MLBS,11.976,0.568,253,300,12,13,1030,2.7,3.4,62,1,7338,2008,186028,2216,3821,23,966,711,0,336,1249,18,63,11,2,5,18,24,
O,ORNL,0.542,0.013,1615,476,11.4,15,1222,1.83787,4.7,73.1,1.5,3453,1518,49195,1614,11084,6.863157895,1147,591,0.2,175,539,43,14,41.5,2.3,9,52.8,72,
O,DELA,0.429,0.018,2412,203,8.4,18,1290,5.094144,6.7,51.4,2.13,47790,23444,177419,10505,15274,6.332504146,3764,983,0.6,1443,4088,100,126,44.4,1.6,8.6,54.6,100,
O,LENO,0.514,0.016,824,184,5.8,18,1429,2.302256,4.9,43.6,0.11,26795,12420,233105,7958,7053,8.559466019,2460,700,0.4,1911,3050,71,116,28.4,1.4,5.6,35.4,81,
O,ABBY,0.663,0.028,1411,138,5.9,8,2530,6.781266,4.7,36.2,0.12,87085,60108,179617,3241,6350,4.500354359,3477,819,0.4,5325,7553,90,85,5.4,0.6,1.2,7.2,20,
O,WREF,4.333,0.113,489,537,13.2,8,2530,3.033054,3.3,90.3,1.64,8084.5,3539.5,24734,2017,4776,12.41174113,1038.5,975,1.1,1617,535,54,10,13.15,2.15,2.85,18.35,21,
O,SOAP,1.389,0.040,474,461,13.4,10,1246,1.427688,4.6,69.4,1.9,14826,6568,53737,4380,9990,21.07594937,2575,841,0.2,1471,840,74,5,35.1,2.5,8.3,45.9,66,
O,BARR,18.758,1.045,216,246,13.7,-12,110,16.47,4.7,56.2,2.76,40478,34106,125900,8776,5235,24.23611111,4273,1010,2.6,2842,2466,56,65,22.4,0.3,5.5,28.2,50,
O,BONA,12.937,0.487,291,325.5,9.2,-1,399,14.94382,3.95,68.5,0.88,31551.5,22154.5,122791,7432.5,8243,28.42553217,4881,1062,0.55,4902.5,2238,86,37,4.9,0.8,3.2,8.95,12,
O,DEJU,4.837,0.171,322,170,6,-2,300,9.1609,3.7,49.5,0.68,59448,28939,217842,14705,8493,26.3757764,6938,185,0.5,10106,4352,129,30,0.9,0.9,0.9,2.7,5,
O,HEAL,11.429,0.429,617,397,13,-4,320,8.976497,3.9,67.5,1.48,22392,15577,74323,6715,4567,15,2587,1195,1,2667,1558,45,40,10,2,5,17,24,
