uid,domainID,Count,siteID,pitNamedLocation,pitID,horizonID,biogeoID,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,horizonName,nstock,cstock,oneovercstock,oneovernstock,mnMjelm
8f09d9bf-b5e5-493c-84fb-2174774b7d62,D01,1,BART,MEGAPT100963,1_BARTLETT_PIT1,1_BARTLETT_PIT1_OE,1_BARTLETT_PIT1_0-3_BIOGEO_OE,1,Regular,8/19/2013,8/19/2013,Oe,0.058,1.423,0.703,17.29463486,465
218edad4-8a7f-44b9-aeb1-e48922f5b6c2,D01,2,HARV,MEGAPT100973,1_HARVARD_PIT1,1_HARVARD_PIT1_OI,1_HARVARD_PIT1_0-4_BIOGEO_OI,1,Regular,7/17/2012,7/17/2012,Oi,0.256,4.682,0.214,3.903127498,295
e96d6dab-6cab-46e8-8395-17e8141f31f5,D02,3,SCBI,MEGAPT100991,2_SCBI_PIT1,2_SCBI_PIT1_OI,2_SCBI_PIT1_0-2_BIOGEO_OI,1,Regular,5/13/2013,5/13/2013,Oi,0.014,0.464,2.155,73.96559121,1124
b1bc6c1b-9126-4f04-9424-22ab4777ce18,D02,4,SERC,MEGAPT100992,2_SERC_PIT1,2_SERC_PIT1_OE,2_SERC_PIT1_BIOGEO_0-2_O,1,Regular,5/5/2014,5/5/2014,Oe,0.083,1.486,0.673,12.08126341,297
7f370eb2-22eb-40b4-b897-0ffd3f4a13fb,D05,5,TREE,MEGAPT100999,D05_TREE_PIT1,5_TREE_PIT1_OA,5_TREE_PIT1_BIOGEO_0-2_OA,1,Regular,6/15/2015,6/15/2015,Oa,0.025,0.397,2.522,39.81811087,757
31bfa670-b9ad-43b2-ac20-8567a5ec0be8,D07,6,MLBS,MEGAPT100982,7_MLBS_PIT1,7_MLBS_PIT1_OA,7_MLBS_PIT1_BIOGEO_3-6_OA,1,Regular,12/2/2013,12/2/2013,Oa,0.201,4.642,0.215,4.982143996,23
7fbbd381-cfa6-4c8a-8f84-b8f20c526626,D07,6,MLBS,MEGAPT100982,7_MLBS_PIT1,7_MLBS_PIT1_OE,7_MLBS_PIT1_BIOGEO_0-3_OE,1,Regular,12/2/2013,12/2/2013,Oe,0.345,6.644,0.151,2.896412417,35
15fa7d6d-6ac7-47be-9280-e7624d286657,D07,6,MLBS,MEGAPT100982,7_MLBS_PIT1,7_MLBS_PIT1_OI,7_MLBS_PIT1_BIOGEO_+5-0_OI,1,Regular,12/2/2013,12/2/2013,Oi,0.022,0.69,1.449,45.36381782,700
7133cc20-ce35-4d43-9522-2e2fece78cce,D07,7,ORNL,MEGAPT100988,7_OAKRIDGE_PIT1,7_OAKRIDGE_PIT1_OI,7_OAKRIDGE_PIT1_BIOGEO_0-1_OI,1,Regular,9/23/2013,9/23/2013,Oi,0.013,0.542,1.846,77.0819844,1615
c19d3be6-b55f-422c-ab47-cd45c06d3975,D08,8,DELA,MEGAPT100969,8_DEADLAKE_PIT1,8_DEADLAKE_PIT1_OI,8_DEADLAKE_PIT1_0-2_BIOGEO_LITTER,1,Regular,4/29/2013,4/29/2013,Oi,0.018,0.429,2.332,56.36724387,2412
