plotID,sampleID.x,uid.x,namedLocation.x,domainID.x,siteID.x,plotType.x,sampleCode.x,ligninSampleID.x,ligninSampleBarcode.x,collectDate.x,analysisDate.x,analyticalRepNumber.x,dryMass.x,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks.x,laboratoryName.x,testMethod.x,analyzedBy.x,reviewedBy.x,dataQF.x,publicationDate.x,release.x,uid.y,namedLocation.y,domainID.y,siteID.y,plotType.y,sampleCode.y,ligninSampleID.y,ligninSampleBarcode.y,collectDate.y,analysisDate.y,analyticalRepNumber.y,dryMass.y,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks.y,laboratoryName.y,testMethod.y,analyzedBy.y,reviewedBy.y,dataQF.y,publicationDate.y,release.y,uid,namedLocation,domainID,siteID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID.y,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release
BLAN_001,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxsBybbGZR2AU=,d3d4d1d6-a5cb-409c-891d-b3da4bf1eef1,BLAN_001.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxZgCL8zJQOzod0WNJzPbdKg==,A00000162032,8/18/2020 14:06,12/9/2020,1,0.198,25,0.118,0.972,1.559,0.349,0.096,234.7,34.5,3.3,44.5,9.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,d44acba1-d1e5-45ae-838d-d8f562324cff,BLAN_001.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxZgCL8zJQOzod0WNJzPbdKg==,A00000162032,8/18/2020 14:06,1/7/2021,1,0.483,9,12.23,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,e187823a-6f33-4b1d-9d8a-cdc5e80261f2,BLAN_001.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.001024vH,8/18/2020 14:06,NA,OK,NA,Woody individual,line launcher,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxsBybbGZR2AU=,NA,OK,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxFHWULhM61ta0FKEN16wQLg==,B00000052151,OK,NA,NA,NA,NA,NA,NA,Y,10345,NEON.PLA.D02.BLAN.10345,ULMUS,Ulmus sp.,OK,Partially shaded,true canopy,10.3,NA,NA,BLAN.10345.2020,medium,BLAN-2020-polygons,0000-0003-4806-3126,0000-0001-8122-5196,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_001,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dP3ienEDQrHU=,cab65a8a-962f-49b8-a2d9-f049cc4d4e2c,BLAN_001.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dqe3r1zFemnE=,A00000162677,8/26/2020 12:52,12/9/2020,1,0.199,25,0.165,1.765,3.589,0.313,0.149,139.6,57.1,8.7,73.9,15.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,44586701-8604-4585-ad30-4063f9cc9476,BLAN_001.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrMXiGzhQUFAf65blklU+T3dqe3r1zFemnE=,A00000162677,8/26/2020 12:52,1/7/2021,1,0.467,6.9,12.83,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,e187823a-6f33-4b1d-9d8a-cdc5e80261f2,BLAN_001.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087919,-77.958389,20.2,128.3,0.34,NEON.DOC.001024vH,8/18/2020 14:06,NA,OK,NA,Woody individual,line launcher,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxsBybbGZR2AU=,NA,OK,9bPqo9r3ZrPBA5iK9E1n2ts21cQAsTmxFHWULhM61ta0FKEN16wQLg==,B00000052151,OK,NA,NA,NA,NA,NA,NA,Y,10345,NEON.PLA.D02.BLAN.10345,ULMUS,Ulmus sp.,OK,Partially shaded,true canopy,10.3,NA,NA,BLAN.10345.2020,medium,BLAN-2020-polygons,0000-0003-4806-3126,0000-0001-8122-5196,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_003,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1qoUuM2P/8ds=,691abb64-1907-47b8-a41f-cb1c6d75801c,BLAN_003.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPVekffnzp8zQJqybz5Src14XAbOl+Ii4k=,A00000162168,8/17/2020 17:57,12/9/2020,1,0.199,25,0.302,2.733,0.783,0.357,0.209,97.9,74.1,9.4,4.2,51.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,34c82df5-5b6b-40ae-adc6-c5e7142fd0c5,BLAN_003.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPVekffnzp8zQJqybz5Src14XAbOl+Ii4k=,A00000162168,8/17/2020 17:57,1/7/2021,1,0.481,3.56,25.51,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,ef1e0cd8-a8ff-464a-8f6b-89da8040bd82,BLAN_003.basePlot.cfc,D02,BLAN,distributed,pastureHay,WGS84,39.078872,-77.963659,20.1,121.8,0.1,NEON.DOC.001024vH,8/17/2020 17:57,NA,OK,31,Herbaceous clip strip,clippers,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1qoUuM2P/8ds=,NA,OK,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1mZryyF2XKMQ=,B00000052154,OK,162,BLAN_003_162,2,0.1,100,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7914-5891,0000-0003-4806-3126,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_004,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKlZ9SrYijL8E=,681204c5-5f3a-4547-8682-7c4c3dc70f95,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKpaXAAhPefQ+sFA7E4zWgeA==,A00000162680,8/27/2020 13:07,12/9/2020,1,0.202,25,0.166,1.827,1.596,0.291,0.278,198.3,63.5,6.2,24.2,22.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,4943f22d-5273-4ff5-bb0e-9c8a5befe1bf,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrN99L6yMGCD2gTtZ+99HgHKpaXAAhPefQ+sFA7E4zWgeA==,A00000162680,8/27/2020 13:07,1/7/2021,1,0.486,11.46,14.43,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,11837254-30cd-4f5a-b8f8-23aa803f88f0,BLAN_004.basePlot.cfc,D02,BLAN,distributed,pastureHay,WGS84,39.087516,-77.962567,20.1,128.4,0.1,NEON.DOC.001024vH,8/25/2020 18:13,NA,OK,NA,Woody individual,other,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,NA,OK,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhIWYNDWzjW68Q=,B00000052073,OK,NA,NA,NA,NA,NA,NA,N,02469Z,NEON.PLA.D02.BLAN.02469Z,ROPS,Robinia pseudoacacia L.,OK,Full sun,true canopy,5,NA,NA,BLAN.02469Z.2020,high,BLAN-2020-polygons,0000-0001-9356-3117,0000-0001-8122-5196,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_004,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,3b10d9f4-d409-4cd9-bab1-a048a339ddf3,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI6CzkHUq4UTs=,A00000162119,8/25/2020 18:13,12/9/2020,1,0.201,25,0.135,1.538,1.518,0.245,0.15,81.9,37.5,4.4,26.1,15.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,cbb2f689-be4f-452e-84da-d7cbb18c13f6,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI6CzkHUq4UTs=,A00000162119,8/25/2020 18:13,1/7/2021,1,0.49,17.88,12.76,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,11837254-30cd-4f5a-b8f8-23aa803f88f0,BLAN_004.basePlot.cfc,D02,BLAN,distributed,pastureHay,WGS84,39.087516,-77.962567,20.1,128.4,0.1,NEON.DOC.001024vH,8/25/2020 18:13,NA,OK,NA,Woody individual,other,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,NA,OK,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhIWYNDWzjW68Q=,B00000052073,OK,NA,NA,NA,NA,NA,NA,N,02469Z,NEON.PLA.D02.BLAN.02469Z,ROPS,Robinia pseudoacacia L.,OK,Full sun,true canopy,5,NA,NA,BLAN.02469Z.2020,high,BLAN-2020-polygons,0000-0001-9356-3117,0000-0001-8122-5196,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_004,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZSIMK2YUcWTdY=,e109cd15-bf77-472b-a0e1-df1b8e38134b,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZShcQi0HMJ+y0=,A00000162140,8/17/2020 17:07,12/9/2020,1,0.201,25,0.283,3.115,1.058,0.327,0.275,324.7,90.7,7.3,26.4,34.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,b4ee7864-079f-4176-9ca6-0b89dfa3c897,BLAN_004.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZShcQi0HMJ+y0=,A00000162140,8/17/2020 17:07,1/7/2021,1,0.491,5.4,26.14,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,11837254-30cd-4f5a-b8f8-23aa803f88f0,BLAN_004.basePlot.cfc,D02,BLAN,distributed,pastureHay,WGS84,39.087516,-77.962567,20.1,128.4,0.1,NEON.DOC.001024vH,8/25/2020 18:13,NA,OK,NA,Woody individual,other,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhI5n/rIQjmRQ0=,NA,OK,9bPqo9r3ZrNfc3R7B0/GWgKLalj5FVhIWYNDWzjW68Q=,B00000052073,OK,NA,NA,NA,NA,NA,NA,N,02469Z,NEON.PLA.D02.BLAN.02469Z,ROPS,Robinia pseudoacacia L.,OK,Full sun,true canopy,5,NA,NA,BLAN.02469Z.2020,high,BLAN-2020-polygons,0000-0001-9356-3117,0000-0001-8122-5196,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_005,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEgq0hllUNSlE=,cd1b9fbd-aabe-441f-a845-4e2c6bf9c80f,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEtxF1HpYe3ZWyQ1IikTLdsQ==,A00000162116,8/24/2020 15:00,12/9/2020,1,0.196,25,0.121,1.269,1.448,0.421,0.098,626,38.7,4.5,22.8,12.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,b8328ace-6e59-48c1-8a94-4b04d0f51f64,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrOYXhSj0CWw9zv8PTEWbOIEtxF1HpYe3ZWyQ1IikTLdsQ==,A00000162116,8/24/2020 15:00,1/7/2021,1,0.476,7.49,13.37,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,1dea48b1-6c92-496f-adc2-34152439d950,BLAN_005.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087456,-77.971942,20.1,137.4,0.21,NEON.DOC.001024vH,8/24/2020 18:59,NA,OK,31,Woody individual,line launcher,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,OK,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQM9B6ehsq5ao=,B00000052069,OK,NA,NA,NA,NA,NA,NA,N,02476Z,NEON.PLA.D02.BLAN.02476Z,ASTR,Asimina triloba (L.) Dunal,OK,Partially shaded,sunlit gap,7.7,NA,NA,NA,NA,NA,0000-0001-5623-6512,0000-0001-9247-047X,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_005,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55vFRSd81B+aI=,5e110fd1-eb12-4fd7-9042-86610609c667,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55dKe6J9CnyBQ=,A00000162670,8/25/2020 13:55,12/9/2020,1,0.203,25,0.144,1.038,1.972,0.381,0.159,770.4,35.2,7.7,29.2,16.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,222ee786-f54b-4a8d-b554-186f62c99bc2,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrP7pI0oKq6JGk8pN9rQPd55dKe6J9CnyBQ=,A00000162670,8/25/2020 13:55,1/7/2021,1,0.493,11.03,14.96,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,1dea48b1-6c92-496f-adc2-34152439d950,BLAN_005.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087456,-77.971942,20.1,137.4,0.21,NEON.DOC.001024vH,8/24/2020 18:59,NA,OK,31,Woody individual,line launcher,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,OK,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQM9B6ehsq5ao=,B00000052069,OK,NA,NA,NA,NA,NA,NA,N,02476Z,NEON.PLA.D02.BLAN.02476Z,ASTR,Asimina triloba (L.) Dunal,OK,Partially shaded,sunlit gap,7.7,NA,NA,NA,NA,NA,0000-0001-5623-6512,0000-0001-9247-047X,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_005,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,35fbc270-6fea-4dd4-a777-7243d200b789,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQJNwRcolxIB0=,A00000162109,8/24/2020 18:59,12/9/2020,1,0.193,25,0.164,1.272,1.708,0.435,0.218,63.7,50.4,7.3,51.8,16.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,3c824f17-37c6-472c-9a7f-ad63a4bb9dec,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQJNwRcolxIB0=,A00000162109,8/24/2020 18:59,1/7/2021,1,0.484,7.61,14.16,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,1dea48b1-6c92-496f-adc2-34152439d950,BLAN_005.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087456,-77.971942,20.1,137.4,0.21,NEON.DOC.001024vH,8/24/2020 18:59,NA,OK,31,Woody individual,line launcher,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,OK,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQM9B6ehsq5ao=,B00000052069,OK,NA,NA,NA,NA,NA,NA,N,02476Z,NEON.PLA.D02.BLAN.02476Z,ASTR,Asimina triloba (L.) Dunal,OK,Partially shaded,sunlit gap,7.7,NA,NA,NA,NA,NA,0000-0001-5623-6512,0000-0001-9247-047X,NA,NA,20211222T020821Z,RELEASE-2022
BLAN_005,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGfDonyCdqvw4=,658d13a4-6e43-436c-b0d5-dc4acfa0113c,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGvI+a+FTD3SQ=,A00000162675,8/24/2020 16:55,12/9/2020,1,0.2,25,0.152,0.913,1.035,0.132,0.13,1222,41.6,6.9,26.2,13.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,2b5faa23-5295-4f7d-869e-62c687aec7ec,BLAN_005.basePlot.cfc,D02,BLAN,distributed,NA,9bPqo9r3ZrOMKxEfhtrPDDr/S6SUT+UGvI+a+FTD3SQ=,A00000162675,8/24/2020 16:55,1/7/2021,1,0.472,10.3,12.69,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,5CCjZV/fgtQ=,j+NchQmCR3uWeXRzNkSPNw==,NA,20211222T020821Z,RELEASE-2022,1dea48b1-6c92-496f-adc2-34152439d950,BLAN_005.basePlot.cfc,D02,BLAN,distributed,deciduousForest,WGS84,39.087456,-77.971942,20.1,137.4,0.21,NEON.DOC.001024vH,8/24/2020 18:59,NA,OK,31,Woody individual,line launcher,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQGUc53AFHufI=,NA,OK,9bPqo9r3ZrPBxopufqjMWg350yuJvcGQM9B6ehsq5ao=,B00000052069,OK,NA,NA,NA,NA,NA,NA,N,02476Z,NEON.PLA.D02.BLAN.02476Z,ASTR,Asimina triloba (L.) Dunal,OK,Partially shaded,sunlit gap,7.7,NA,NA,NA,NA,NA,0000-0001-5623-6512,0000-0001-9247-047X,NA,NA,20211222T020821Z,RELEASE-2022
