temp,precip,c,n,oc,cnratio,mnMjelm,sulf,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,mnKcl,caNh4d,kNh4d,mgNh4d,cecdNh4,baseSumCecd10,bsesatCecd10
8,1056,447.5,18.2,448,24.61538462,465,1.5,15571,3104,4744,5433,584,4890,942,88148,23,815,101,3.4,4.5,1.38,29.8,9.3,3.3,1.5,66,14.1,21
8,967,255.1,13.9,254,18.27338129,295,0.9,32588,5730,13558,7556,1909,7177,1492,183014,121,2564,54,3.5,4.6,0.74,3.2,2.1,1.4,1.5,54,5,9
13,1054,381.1,11.1,381,34.32432432,1124,1.1,21512,24173,37322,2300,2579,304,917,80618,267,6412,64,5.4,5.6,,,58.6,3.5,12.8,55.4,75.7,100
14,1107,79.9,4.4,79,17.95454545,297,0.4,20012,3602,19324,9160,3384,1235,442,301884,46,4452,149,5.9,6.8,0.42,,14.2,0.5,3.6,20.7,18.3,88
5,782,29.6,1.9,30,15.78947368,757,0.1,35506,4616,13443,14278,1943,7034,392,334432,96,2044,52,5.3,5.8,0.2,,4.1,0.4,0.8,7.3,5.3,73
13,1030,147.6,6.4,148,23.125,23,0,9530,592,2268,1868,573,386,448,310884,17,1869,100,3.1,4.1,0.17,0.6,1,0.4,1.4,43.9,2.8,6
13,1030,229.1,11.9,229,19.24369748,35,0.3,9837,1031,3001,2123,773,468,622,218254,19,1653,90,3.1,4.1,0.3,1.1,2.6,0.7,2.7,66.5,6,9
13,1030,522.9,16.7,523,31.31736527,700,0.7,2648,9840,754,2656,1552,155,1064,28946,19,225,0,4,4.4,1.47,57.8,28.9,4.3,10.6,75.3,43.8,58
15,1222,475.9,11.4,476,41.75438596,1615,0.2,3453,11084,1518,1614,1147,175,591,49195,43,539,14,4.7,5.3,1.5,84.9,41.5,2.3,9,73.1,52.8,72
18,1290,203.3,8.4,203,24.16666667,2412,0.6,47790,15274,23444,10505,3764,1443,983,177419,100,4088,126,6.7,7,2.13,,44.4,1.6,8.6,51.4,54.6,100
18,1429,184.4,5.8,184,31.72413793,824,0.4,26795,7053,12420,7958,2460,1911,700,233105,71,3050,116,4.9,5.1,0.11,55.9,28.4,1.4,5.6,43.6,35.4,81
8,2530,137.6,5.9,138,23.38983051,1411,0.4,87085,6350,60108,3241,3477,5325,819,179617,90,7553,85,4.7,5.5,0.12,48.9,5.4,0.6,1.2,36.2,7.2,20
8,2530,518.5,14.2,519,36.54929577,261,1.3,11466,4720,4954,2209,1237,2381,1001,34632,67,761,15,3.1,3.8,1.4,178.1,10.1,1.7,2.3,100.3,14.3,14
8,2530,555.1,12.2,555,45.49180328,717,0.9,4703,4832,2125,1825,840,853,949,14836,41,309,5,3.5,4.1,1.88,621.2,16.2,2.6,3.4,80.3,22.4,28
10,1246,460.6,13.4,461,34.40298507,474,0.2,14826,9990,6568,4380,2575,1471,841,53737,74,840,5,4.6,5,1.9,31.3,35.1,2.5,8.3,69.4,45.9,66
-12,110,245.9,13.7,246,17.95620438,216,2.6,40478,5235,34106,8776,4273,2842,1010,125900,56,2466,65,4.7,5.3,2.76,7.7,22.4,0.3,5.5,56.2,28.2,50
-1,399,219.5,9.2,220,23.91304348,280,0.7,47422,8693,36373,9817,7149,7051,1326,178476,116,3383,49,4.1,4.8,0.43,9.5,1.4,0,1.1,60.8,2.5,4
-1,399,431.3,9.2,431,46.84782609,302,0.4,15681,7793,7936,5048,2613,2754,798,67106,56,1093,25,3.8,4.6,1.33,174.1,8.4,1.6,5.3,76.2,15.4,20
-2,300,169.7,6,170,28.33333333,322,0.5,59448,8493,28939,14705,6938,10106,185,217842,129,4352,30,3.7,4,0.68,0.4,0.9,0.9,0.9,49.5,2.7,5
-4,320,271.2,11,271,24.63636364,151,1.3,43145,4769,29182,10944,3818,5362,1192,140804,76,3079,74,3.8,4.5,0.46,8,4.4,0.2,2.5,58.3,7.2,12
-4,320,453.5,12,454,37.83333333,346,0.8,13202,3723,11724,4299,1805,1368,1085,43046,33,871,26,3.7,4.3,1.35,229.3,4,1.4,2.9,69,8.3,12
-4,320,464.9,14.9,465,31.20805369,1353,0.9,10829,5210,5825,4903,2139,1270,1307,39120,27,725,20,4.3,4.8,2.63,651.8,20.4,5.1,9.3,75.2,35,47
