uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF,publicationDate
c58f4b39-4d47-4849-b7db-a9a659ad5d26,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04935,Bs1,2016-12-01,S2016NH003001-3,bulk,23,33,28,1.016,,,0,0,0,0,7.8,,0,0,,1,,6.3,4.8,5.4,0.04,,,,,,,,,,,,,,,,,,,26.4,1.2,22,26,0.2,0.74,0.81,213.5,168.3,0.13,0.25,0.7,1,0,0.1,20.3,7.2,0.7,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
4b3f67f9-9798-4743-aa6b-74a0ac75632e,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04933,Oa,2016-10-19,S2016NH003001-1,bulk,0,13,6.5,1.093,0,,6.3,1.8,1.3,0,118.7,59,9.4,8,22.7,13.3,,10.5,3.5,4.4,1.82,,,1.9,1.7,0,0.84,0,436.4,0,1.1,0.1,0,0,0,,4.1,,1.8,508.7,18,28,509,2.1,0.54,0.04,93.1,372.2,0,0.33,0.5,0.1,0,0.1,190.9,111.4,65.1,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
07f09a4a-cc9f-45f9-8abb-d3eb8f4b3c07,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04936,Bs2,2016-12-01,S2016NH003001-4,bulk,33,49,41,1.014,,,0,0,0,0,7.7,,,,,1,,3,4.7,5.3,0.03,,,,,,,,,,,,,,,,,,,20.4,1,20,20,0.2,0.7,0.65,186,168.2,0.13,0.22,0.6,0.8,0,0.1,18.1,6.1,0.7,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
9e2267f4-18d8-4845-b17b-b580adc17e8c,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04934,E/B,2016-12-01,S2016NH003001-2,bulk,13,23,18,1.01,,,0,0,0,0,4.9,,0,0,,1,,1.3,4.6,5.1,0.04,,,,,,,,,,,,,,,,,,,21.2,0.9,23,21,0.2,0.41,0.79,58.6,75.3,0.06,0.15,0.3,0.8,0,0,11.1,5.8,0.8,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
262bd448-3977-413d-a6fb-110b2e21c953,BART_018.basePlot.all,D01,BART,BART_018,S2016NH003001,2016-05-11,16N04937,Cd,2016-12-01,S2016NH003001-5,bulk,49,100,74.5,1.002,,,0,0,0,0,0.7,,,,,0.1,,0.1,5.3,5.9,0.01,,,,,,,,,,,,,,,,,,,0.6,0.1,6,1,0,0.05,0.1,75.9,104.9,0.01,0,0,0.3,0,0,2.5,0.8,9.4,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
03256967-d014-4ee7-aa5c-8044c1888d15,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04938,Oa,2016-10-19,S2016NH003002-1,bulk,0,9,4.5,1.068,0,,4.8,1.8,2.3,0,121,26,8.9,7,12.1,3.2,,11.1,3.1,3.9,1.46,,,1.5,0.7,0,0.65,0,448.8,0,0.8,0.1,0,0,0,,3.8,,1.4,506.3,16.3,31,506,1.9,0.09,0.07,72.5,102.5,0,0.05,0.1,0.1,0,0.1,176.7,90.9,33.7,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
c2a12aae-97c0-40cc-9528-c57b7ecdc99b,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04940,Bhs,2016-12-01,S2016NH003002-3,bulk,13,18,15.5,1.024,,,0,0,0,0,19,,0,0,,5.1,,0,4.1,4.3,0.12,,,,,,,,,,,,,,,,,,,45.9,1.4,32,46,0.2,0.74,0.44,2.1,77.9,0.14,0.84,0.7,1.1,0,0.1,58,9.4,1,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
1b9d092b-bb5a-4339-b57a-0f3f3c3ca45e,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04943,BC2,2016-12-01,S2016NH003002-6,bulk,54,100,77,1.007,,,0,0,0,0,2.5,,,,,0.5,,0,4.9,5,0.03,,,,,,,,,,,,,,,,,,,4.2,0.3,14,4,0,0.38,0.1,13.2,84.3,0.14,0.05,0.2,0.3,0,0,6.6,3.1,5.2,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
6a6d52c7-e258-47b5-bd2d-8685150fc5cb,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04942,BC1,2016-12-01,S2016NH003002-5,bulk,27,54,40.5,1.008,,,0,0,0,0,3.7,,,,,0.7,,0,4.7,4.8,0.03,,,,,,,,,,,,,,,,,,,8,0.3,27,8,0.1,0.43,0.09,6.3,76,0.14,0.11,0.3,0.4,0,0.1,9.1,3.5,1.2,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
b54c9c32-f6b9-4bec-abcb-5f9f76fe6a02,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04939,E,2016-10-19,S2016NH003002-2,bulk,9,13,11,1.004,,,0,0,0,0,5.6,,0,0,,1.6,,0,3.4,4,0.11,,,,,,,,,,,,,,,,,,,15.4,0.6,26,15,0.1,0.05,0,2.1,63.9,0,0.04,0,0.1,0,0,6.3,4.7,3,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
f9f20e9b-31b0-4922-a28b-af756cc2ae51,BART_081.basePlot.all,D01,BART,BART_081,S2016NH003002,2016-05-17,16N04941,Bs,2016-10-19,S2016NH003002-4,bulk,18,27,22.5,1.02,,,0,0,0,0,12,,,,,1.8,,0.1,4.4,4.5,0.07,,,,,,,,,,,,,,,,,,,26.5,0.8,32,27,0.1,0.89,0.24,2.1,83.1,0.28,0.36,0.6,0.7,0,0.1,24.1,7.7,4.5,,,"",USDA NRCS Kellogg Soil Survey Laboratory,,20191202T150718Z
